"Unweighted_Sample","Weighted_Sample","Question","Nationality","Gender","Rank (text)","Rank (number)","Percentage"
478,491,"They are good looking","Egyptian","Women","Ranked second",2,0.09
478,491,"They are good looking","Egyptian","Women","Ranked third",3,0.13
478,491,"They are good looking","Egyptian","Women","Ranked fourth",4,0.2
478,491,"They are good looking","Egyptian","Women","Ranked fifth",5,0.27
478,491,"They are good looking","Egyptian","Women","Ranked sixth",6,0.2
478,491,"They have a personality I like","Egyptian","Women","Ranked first",1,0.53
478,491,"They have a personality I like","Egyptian","Women","Ranked second",2,0.21
478,491,"They have a personality I like","Egyptian","Women","Ranked third",3,0.11
478,491,"They have a personality I like","Egyptian","Women","Ranked fourth",4,0.07
478,491,"They have a personality I like","Egyptian","Women","Ranked fifth",5,0.06
